,number_of_a,number_of_b,number_of_used_a,number_of_used_b,status,Total cost
654,13,4,13,0,Optimal,1198540
655,13,5,13,0,Optimal,1198540
656,13,6,13,0,Optimal,1198540
657,13,7,13,0,Optimal,1198540
658,13,8,13,0,Optimal,1198540
659,13,9,13,0,Optimal,1198540
660,13,10,13,0,Optimal,1198540
661,13,11,13,0,Optimal,1198540
662,13,12,13,0,Optimal,1198540
663,13,13,13,0,Optimal,1198540
664,13,14,13,0,Optimal,1198540
665,13,15,13,0,Optimal,1198540
666,13,16,13,0,Optimal,1198540
667,13,17,13,0,Optimal,1198540
668,13,18,13,0,Optimal,1198540
669,13,19,13,0,Optimal,1198540
670,13,20,13,0,Optimal,1198540
671,13,21,13,0,Optimal,1198540
672,13,22,13,0,Optimal,1198540
673,13,23,13,0,Optimal,1198540
674,13,24,13,0,Optimal,1198540
675,13,25,13,0,Optimal,1198540
676,13,26,13,0,Optimal,1198540
677,13,27,13,0,Optimal,1198540
678,13,28,13,0,Optimal,1198540
679,13,29,13,0,Optimal,1198540
680,13,30,13,0,Optimal,1198540
681,13,31,13,0,Optimal,1198540
682,13,32,13,0,Optimal,1198540
683,13,33,13,0,Optimal,1198540
684,13,34,13,0,Optimal,1198540
685,13,35,13,0,Optimal,1198540
686,13,36,13,0,Optimal,1198540
687,13,37,13,0,Optimal,1198540
688,13,38,13,0,Optimal,1198540
689,13,39,13,0,Optimal,1198540
690,13,40,13,0,Optimal,1198540
691,13,41,13,0,Optimal,1198540
692,13,42,13,0,Optimal,1198540
693,13,43,13,0,Optimal,1198540
694,13,44,13,0,Optimal,1198540
695,13,45,13,0,Optimal,1198540
696,13,46,13,0,Optimal,1198540
697,13,47,13,0,Optimal,1198540
698,13,48,13,0,Optimal,1198540
699,13,49,13,0,Optimal,1198540
700,14,0,13,0,Optimal,1198540
701,14,1,13,0,Optimal,1198540
702,14,2,13,0,Optimal,1198540
703,14,3,13,0,Optimal,1198540
704,14,4,13,0,Optimal,1198540
705,14,5,13,0,Optimal,1198540
706,14,6,13,0,Optimal,1198540
707,14,7,13,0,Optimal,1198540
708,14,8,13,0,Optimal,1198540
709,14,9,13,0,Optimal,1198540
710,14,10,13,0,Optimal,1198540
711,14,11,13,0,Optimal,1198540
712,14,12,13,0,Optimal,1198540
713,14,13,13,0,Optimal,1198540
714,14,14,13,0,Optimal,1198540
715,14,15,13,0,Optimal,1198540
716,14,16,13,0,Optimal,1198540
717,14,17,13,0,Optimal,1198540
